[global] Name: $x, Type: integer
[global] Name: $y, Type: float
[global] Name: $mert, Type: character
[global] Name: $mere, Type: string
[global] Name: $bestCompiler, Type: bool
[global] Name: $data, Type: constant integer
[global] Name: $flotant, Type: constant float
[global] Name: $constString, Type: constant string
[global] Name: $done, Type: constant bool
[global] Name: $xx, Type: integer
[Mercedes.] Name: $xxxx, Type: integer
[Mercedes.] Name: $data2, Type: float
[Mercedes.Hello] Name: $world4, Type: integer
[Mercedes.Hello] Name: $data5, Type: integer
[Mercedes.Hello] Name: $jajaja, Type: integer
[Mercedes.PutereMotor] Name: $helloWorld, Type: integer
[Mercedes.PutereMotor] Name: $world2, Type: integer
[Mercedes.PutereMotor] Name: $xulescu, Type: integer
[PutereMotor] Name: $hello, Type: integer
[PutereMotor] Name: $world, Type: integer
[PutereMotor] Name: $xxx, Type: integer
[main] Name: $yred, Type: integer
[main] Name: $z, Type: integer
[main] Name: $w, Type: integer
